,Actual Aggregated
2018-12-01 00:00:00+01:00,56313.0
2018-12-01 01:00:00+01:00,54210.0
2018-12-01 02:00:00+01:00,53516.0
2018-12-01 03:00:00+01:00,53124.0
2018-12-01 04:00:00+01:00,54087.0
2018-12-01 05:00:00+01:00,54106.0
2018-12-01 06:00:00+01:00,55589.0
2018-12-01 07:00:00+01:00,57745.0
2018-12-01 08:00:00+01:00,60253.0
2018-12-01 09:00:00+01:00,63157.0
2018-12-01 10:00:00+01:00,64354.0
2018-12-01 11:00:00+01:00,64955.0
2018-12-01 12:00:00+01:00,65241.0
2018-12-01 13:00:00+01:00,64317.0
2018-12-01 14:00:00+01:00,62318.0
2018-12-01 15:00:00+01:00,61203.0
2018-12-01 16:00:00+01:00,61781.0
2018-12-01 17:00:00+01:00,65080.0
2018-12-01 18:00:00+01:00,66536.0
2018-12-01 19:00:00+01:00,66963.0
2018-12-01 20:00:00+01:00,64696.0
2018-12-01 21:00:00+01:00,62498.0
2018-12-01 22:00:00+01:00,61988.0
2018-12-01 23:00:00+01:00,59448.0
2018-12-02 00:00:00+01:00,56400.0
2018-12-02 01:00:00+01:00,54470.0
2018-12-02 02:00:00+01:00,54267.0
2018-12-02 03:00:00+01:00,53394.0
2018-12-02 04:00:00+01:00,53544.0
2018-12-02 05:00:00+01:00,53296.0
2018-12-02 06:00:00+01:00,53767.0
2018-12-02 07:00:00+01:00,55122.0
2018-12-02 08:00:00+01:00,57836.0
2018-12-02 09:00:00+01:00,60593.0
2018-12-02 10:00:00+01:00,63019.0
2018-12-02 11:00:00+01:00,65095.0
2018-12-02 12:00:00+01:00,65836.0
2018-12-02 13:00:00+01:00,64795.0
2018-12-02 14:00:00+01:00,63327.0
2018-12-02 15:00:00+01:00,63403.0
2018-12-02 16:00:00+01:00,64475.0
2018-12-02 17:00:00+01:00,67224.0
2018-12-02 18:00:00+01:00,68767.0
2018-12-02 19:00:00+01:00,68724.0
2018-12-02 20:00:00+01:00,66464.0
2018-12-02 21:00:00+01:00,64096.0
2018-12-02 22:00:00+01:00,64211.0
2018-12-02 23:00:00+01:00,62093.0
2018-12-03 00:00:00+01:00,58789.0
2018-12-03 01:00:00+01:00,57096.0
2018-12-03 02:00:00+01:00,56365.0
2018-12-03 03:00:00+01:00,56692.0
2018-12-03 04:00:00+01:00,57940.0
2018-12-03 05:00:00+01:00,61068.0
2018-12-03 06:00:00+01:00,68308.0
2018-12-03 07:00:00+01:00,73154.0
2018-12-03 08:00:00+01:00,75817.0
2018-12-03 09:00:00+01:00,77150.0
2018-12-03 10:00:00+01:00,77986.0
2018-12-03 11:00:00+01:00,78189.0
2018-12-03 12:00:00+01:00,78153.0
2018-12-03 13:00:00+01:00,77470.0
2018-12-03 14:00:00+01:00,74703.0
2018-12-03 15:00:00+01:00,73014.0
2018-12-03 16:00:00+01:00,73590.0
2018-12-03 17:00:00+01:00,75253.0
2018-12-03 18:00:00+01:00,75215.0
2018-12-03 19:00:00+01:00,74237.0
2018-12-03 20:00:00+01:00,69896.0
2018-12-03 21:00:00+01:00,66486.0
2018-12-03 22:00:00+01:00,64540.0
2018-12-03 23:00:00+01:00,61731.0
2018-12-04 00:00:00+01:00,58535.0
2018-12-04 01:00:00+01:00,57397.0
2018-12-04 02:00:00+01:00,57008.0
2018-12-04 03:00:00+01:00,57207.0
2018-12-04 04:00:00+01:00,59172.0
